District,Year,GW_May_Actual,ARIMA_Fitted,ARIMA_Residual,ARIMA_Trend_m_yr
Ariyalur,2011,5.74,0.0,5.74,-0.1607
Ariyalur,2012,5.74,5.74,0.0,-0.1607
Ariyalur,2013,6.31,5.74,0.57,-0.1607
Ariyalur,2014,9.03,5.9666,3.0634,-0.1607
Ariyalur,2015,4.72,7.0322,-2.3122,-0.1607
Ariyalur,2016,5.72,6.2953,-0.5753,-0.1607
Ariyalur,2017,6.43,6.102,0.328,-0.1607
Ariyalur,2018,5.72,6.2011,-0.4811,-0.1607
Ariyalur,2019,7.07,6.0543,1.0157,-0.1607
Ariyalur,2020,5.35,6.3643,-1.0143,-0.1607
Ariyalur,2021,4.33,6.058,-1.728,-0.1607
Ariyalur,2022,3.54,5.5221,-1.9821,-0.1607
Ariyalur,2023,5.0,4.9048,0.0952,-0.1607
Ariyalur,2024,5.08,4.9238,0.1562,-0.1607
Ariyalur,2025,4.13,4.9723,-0.8423,-0.1607
Chengalpattu,2011,5.84,0.0,5.84,-0.1909
Chengalpattu,2012,5.84,5.84,0.0,-0.1909
Chengalpattu,2013,5.84,5.84,0.0,-0.1909
Chengalpattu,2014,5.84,5.84,0.0,-0.1909
Chengalpattu,2015,5.84,5.84,0.0,-0.1909
Chengalpattu,2016,5.84,5.84,0.0,-0.1909
Chengalpattu,2017,5.84,5.84,0.0,-0.1909
Chengalpattu,2018,5.84,5.84,0.0,-0.1909
Chengalpattu,2019,5.84,5.84,0.0,-0.1909
Chengalpattu,2020,5.84,5.84,0.0,-0.1909
Chengalpattu,2021,2.6,5.84,-3.24,-0.1909
Chengalpattu,2022,3.77,3.7391,0.0309,-0.1909
Chengalpattu,2023,4.25,3.9048,0.3452,-0.1909
Chengalpattu,2024,3.74,4.1459,-0.4059,-0.1909
Chengalpattu,2025,3.71,3.8694,-0.1594,-0.1909
Chennai,2011,4.26,0.0,4.26,-0.1586
Chennai,2012,4.51,4.26,0.25,-0.1586
Chennai,2013,4.73,4.6782,0.0518,-0.1586
Chennai,2014,5.19,4.8482,0.3418,-0.1586
Chennai,2015,5.63,5.5524,0.0776,-0.1586
Chennai,2016,5.384,5.8591,-0.475,-0.1586
Chennai,2017,5.1381,5.046,0.092,-0.1586
Chennai,2018,4.8921,5.0758,-0.1837,-0.1586
Chennai,2019,4.6461,4.6956,-0.0495,-0.1586
Chennai,2020,4.4001,4.515,-0.1148,-0.1586
Chennai,2021,4.1318,4.2372,-0.1054,-0.1586
Chennai,2022,3.6963,3.9637,-0.2674,-0.1586
Chennai,2023,3.1029,3.3766,-0.2737,-0.1586
Chennai,2024,2.5095,2.7114,-0.2019,-0.1586
Chennai,2025,2.64,2.1529,0.4871,-0.1586
Coimbatore,2011,9.37,0.0,9.37,-0.0314
Coimbatore,2012,8.62,9.37,-0.75,-0.0314
Coimbatore,2013,11.1,8.706,2.394,-0.0314
Coimbatore,2014,16.15,10.8634,5.2866,-0.0314
Coimbatore,2015,13.12,15.2481,-2.1281,-0.0314
Coimbatore,2016,14.46,12.7316,1.7284,-0.0314
Coimbatore,2017,17.63,13.9001,3.7299,-0.0314
Coimbatore,2018,15.96,16.6148,-0.6548,-0.0314
Coimbatore,2019,13.94,15.2834,-1.3434,-0.0314
Coimbatore,2020,12.88,13.6414,-0.7614,-0.0314
Coimbatore,2021,12.67,12.779,-0.109,-0.0314
Coimbatore,2022,11.53,12.611,-1.081,-0.0314
Coimbatore,2023,10.22,11.6748,-1.4548,-0.0314
Coimbatore,2024,10.27,10.5916,-0.3216,-0.0314
Coimbatore,2025,11.14,10.6146,0.5254,-0.0314
Cuddalore,2011,5.58,0.0,5.58,-0.1687
Cuddalore,2012,6.55,5.58,0.97,-0.1687
Cuddalore,2013,8.24,6.5957,1.6443,-0.1687
Cuddalore,2014,7.12,8.3205,-1.2005,-0.1687
Cuddalore,2015,6.51,7.0687,-0.5587,-0.1687
Cuddalore,2016,5.67,6.4803,-0.8103,-0.1687
Cuddalore,2017,7.65,5.6299,2.0201,-0.1687
Cuddalore,2018,7.64,7.7425,-0.1025,-0.1687
Cuddalore,2019,8.0,7.6413,0.3587,-0.1687
Cuddalore,2020,6.78,8.017,-1.237,-0.1687
Cuddalore,2021,5.89,6.7228,-0.8328,-0.1687
Cuddalore,2022,4.55,5.847,-1.297,-0.1687
Cuddalore,2023,4.55,4.486,0.064,-0.1687
Cuddalore,2024,4.08,4.5488,-0.4688,-0.1687
Cuddalore,2025,4.95,4.0578,0.8922,-0.1687
Dharmapuri,2011,7.19,0.0,7.19,-0.21
Dharmapuri,2012,10.94,7.19,3.75,-0.21
Dharmapuri,2013,13.77,11.5054,2.2646,-0.21
Dharmapuri,2014,10.72,14.0965,-3.3765,-0.21
Dharmapuri,2015,8.89,10.1804,-1.2904,-0.21
Dharmapuri,2016,8.47,8.7134,-0.2434,-0.21
Dharmapuri,2017,11.28,8.44,2.84,-0.21
Dharmapuri,2018,11.06,11.723,-0.663,-0.21
Dharmapuri,2019,13.97,10.9371,3.0329,-0.21
Dharmapuri,2020,12.27,14.4471,-2.1771,-0.21
Dharmapuri,2021,10.65,11.9101,-1.2601,-0.21
Dharmapuri,2022,6.47,10.4701,-4.0001,-0.21
Dharmapuri,2023,6.5,5.856,0.644,-0.21
Dharmapuri,2024,7.82,6.6276,1.1924,-0.21
Dharmapuri,2025,6.86,7.9997,-1.1397,-0.21
Dindigul,2011,7.33,0.0,7.33,-0.2404
Dindigul,2012,7.54,7.33,0.21,-0.2404
Dindigul,2013,11.23,7.6086,3.6214,-0.2404
Dindigul,2014,13.4,12.6803,0.7197,-0.2404
Dindigul,2015,9.03,13.2251,-4.1951,-0.2404
Dindigul,2016,9.98,7.0423,2.9377,-0.2404
Dindigul,2017,13.43,12.1723,1.2577,-0.2404
Dindigul,2018,11.65,13.3354,-1.6854,-0.2404
Dindigul,2019,11.64,10.7678,0.8722,-0.2404
Dindigul,2020,11.72,12.429,-0.709,-0.2404
Dindigul,2021,8.61,11.0474,-2.4374,-0.2404
Dindigul,2022,6.32,7.4531,-1.1331,-0.2404
Dindigul,2023,5.93,6.0677,-0.1377,-0.2404
Dindigul,2024,6.17,5.9373,0.2327,-0.2404
Dindigul,2025,6.66,6.304,0.356,-0.2404
Erode,2011,6.24,0.0,6.24,-0.1821
Erode,2012,8.42,6.24,2.18,-0.1821
Erode,2013,10.44,8.0591,2.3809,-0.1821
Erode,2014,10.59,9.7485,0.8415,-0.1821
Erode,2015,7.96,9.9535,-1.9935,-0.1821
Erode,2016,9.41,7.9737,1.4363,-0.1821
Erode,2017,13.12,9.0867,4.0333,-0.1821
Erode,2018,10.81,11.9338,-1.1238,-0.1821
Erode,2019,9.74,10.2952,-0.5552,-0.1821
Erode,2020,8.91,9.5369,-0.6269,-0.1821
Erode,2021,8.88,8.937,-0.057,-0.1821
Erode,2022,4.98,8.9131,-3.9331,-0.1821
Erode,2023,6.18,6.0591,0.1209,-0.1821
Erode,2024,6.34,6.8689,-0.5289,-0.1821
Erode,2025,7.22,6.9466,0.2734,-0.1821
Kallakurichi,2011,12.47,0.0,12.47,-0.577
Kallakurichi,2012,12.47,12.47,0.0,-0.577
Kallakurichi,2013,12.47,12.47,-0.0,-0.577
Kallakurichi,2014,12.47,12.47,0.0,-0.577
Kallakurichi,2015,12.47,12.47,-0.0,-0.577
Kallakurichi,2016,12.47,12.47,0.0,-0.577
Kallakurichi,2017,12.47,12.47,-0.0,-0.577
Kallakurichi,2018,12.47,12.47,0.0,-0.577
Kallakurichi,2019,12.47,12.47,-0.0,-0.577
Kallakurichi,2020,12.47,12.47,0.0,-0.577
Kallakurichi,2021,6.26,12.47,-6.21,-0.577
Kallakurichi,2022,5.97,7.0063,-1.0363,-0.577
Kallakurichi,2023,5.13,5.4163,-0.2863,-0.577
Kallakurichi,2024,7.17,5.6673,1.5027,-0.577
Kallakurichi,2025,5.55,6.5021,-0.9521,-0.577
Kanchipuram,2011,4.39,0.0,4.39,-0.0146
Kanchipuram,2012,1.7986,4.39,-2.5913,-0.0146
Kanchipuram,2013,2.6354,3.0732,-0.4378,-0.0146
Kanchipuram,2014,3.4722,1.6208,1.8514,-0.0146
Kanchipuram,2015,6.55,3.8315,2.7185,-0.0146
Kanchipuram,2016,3.88,5.428,-1.548,-0.0146
Kanchipuram,2017,6.22,5.3504,0.8696,-0.0146
Kanchipuram,2018,4.51,4.6251,-0.1151,-0.0146
Kanchipuram,2019,6.08,6.0068,0.0732,-0.0146
Kanchipuram,2020,4.92,4.685,0.235,-0.0146
Kanchipuram,2021,3.4,6.1353,-2.7353,-0.0146
Kanchipuram,2022,2.77,3.0486,-0.2786,-0.0146
Kanchipuram,2023,3.39,3.1705,0.2195,-0.0146
Kanchipuram,2024,3.19,2.9609,0.2291,-0.0146
Kanchipuram,2025,3.55,3.52,0.03,-0.0146
Kanniyakumari,2011,5.42,0.0,5.42,-0.0912
Kanniyakumari,2012,6.17,5.42,0.75,-0.0912
Kanniyakumari,2013,8.23,5.8137,2.4163,-0.0912
Kanniyakumari,2014,5.58,6.6947,-1.1147,-0.0912
Kanniyakumari,2015,4.49,6.2909,-1.8009,-0.0912
Kanniyakumari,2016,4.36,5.8837,-1.5237,-0.0912
Kanniyakumari,2017,8.81,5.6276,3.1824,-0.0912
Kanniyakumari,2018,6.15,6.2977,-0.1477,-0.0912
Kanniyakumari,2019,7.61,6.1467,1.4633,-0.0912
Kanniyakumari,2020,5.84,6.3803,-0.5403,-0.0912
Kanniyakumari,2021,3.66,6.2384,-2.5784,-0.0912
Kanniyakumari,2022,4.86,5.8974,-1.0374,-0.0912
Kanniyakumari,2023,6.96,5.8716,1.0884,-0.0912
Kanniyakumari,2024,3.77,6.0595,-2.2895,-0.0912
Kanniyakumari,2025,5.25,5.7379,-0.4879,-0.0912
Karur,2011,7.33,0.0,7.33,-0.3237
Karur,2012,8.06,7.33,0.73,-0.3237
Karur,2013,10.56,7.846,2.714,-0.3237
Karur,2014,9.4,9.5715,-0.1715,-0.3237
Karur,2015,7.44,9.2139,-1.7739,-0.3237
Karur,2016,5.15,8.0501,-2.9001,-0.3237
Karur,2017,8.24,6.3853,1.8547,-0.3237
Karur,2018,6.36,7.8565,-1.4965,-0.3237
Karur,2019,7.27,6.8242,0.4458,-0.3237
Karur,2020,7.23,7.2196,0.0104,-0.3237
Karur,2021,5.27,7.2134,-1.9434,-0.3237
Karur,2022,4.31,5.9943,-1.6843,-0.3237
Karur,2023,5.48,5.1234,0.3566,-0.3237
Karur,2024,4.34,5.5508,-1.2108,-0.3237
Karur,2025,4.58,4.8116,-0.2316,-0.3237
Krishnagiri,2011,6.74,0.0,6.74,-0.2292
Krishnagiri,2012,8.02,6.74,1.28,-0.2292
Krishnagiri,2013,9.17,7.8165,1.3535,-0.2292
Krishnagiri,2014,8.32,8.7865,-0.4665,-0.2292
Krishnagiri,2015,6.9,8.1505,-1.2505,-0.2292
Krishnagiri,2016,8.11,7.0474,1.0626,-0.2292
Krishnagiri,2017,11.58,7.9759,3.6041,-0.2292
Krishnagiri,2018,8.06,10.6618,-2.6018,-0.2292
Krishnagiri,2019,9.49,8.0494,1.4406,-0.2292
Krishnagiri,2020,9.11,9.1331,-0.0231,-0.2292
Krishnagiri,2021,9.39,8.8723,0.5177,-0.2292
Krishnagiri,2022,6.62,9.0971,-2.4771,-0.2292
Krishnagiri,2023,3.35,7.0558,-3.7058,-0.2292
Krishnagiri,2024,3.64,4.6112,-0.9712,-0.2292
Krishnagiri,2025,5.4,4.7559,0.6441,-0.2292
Madurai,2011,4.5,0.0,4.5,-0.1101
Madurai,2012,4.75,4.5,0.25,-0.1101
Madurai,2013,8.4,4.8057,3.5943,-0.1101
Madurai,2014,9.22,9.3107,-0.0907,-0.1101
Madurai,2015,6.3,8.7184,-2.4184,-0.1101
Madurai,2016,7.5,5.8304,1.6696,-0.1101
Madurai,2017,9.34,8.2691,1.0709,-0.1101
Madurai,2018,9.28,9.2829,-0.0029,-0.1101
Madurai,2019,8.55,9.3089,-0.7589,-0.1101
Madurai,2020,8.46,8.2832,0.1768,-0.1101
Madurai,2021,6.29,8.6585,-2.3685,-0.1101
Madurai,2022,5.79,5.3884,0.4016,-0.1101
Madurai,2023,5.3,6.3969,-1.0969,-0.1101
Madurai,2024,4.24,4.6103,-0.3703,-0.1101
Madurai,2025,4.55,4.474,0.076,-0.1101
Mayiladuthurai,2011,1.66,0.0,1.66,0.1007
Mayiladuthurai,2012,1.66,1.66,0.0,0.1007
Mayiladuthurai,2013,1.66,1.66,-0.0,0.1007
Mayiladuthurai,2014,1.66,1.66,0.0,0.1007
Mayiladuthurai,2015,1.66,1.66,-0.0,0.1007
Mayiladuthurai,2016,1.66,1.66,0.0,0.1007
Mayiladuthurai,2017,1.66,1.66,-0.0,0.1007
Mayiladuthurai,2018,1.66,1.66,0.0,0.1007
Mayiladuthurai,2019,1.66,1.66,-0.0,0.1007
Mayiladuthurai,2020,1.66,1.66,0.0,0.1007
Mayiladuthurai,2021,1.66,1.66,-0.0,0.1007
Mayiladuthurai,2022,1.66,1.66,0.0,0.1007
Mayiladuthurai,2023,3.57,1.66,1.91,0.1007
Mayiladuthurai,2024,2.81,2.8524,-0.0424,0.1007
Mayiladuthurai,2025,3.34,3.2583,0.0817,0.1007
Nagapattinam,2011,3.48,0.0,3.48,-0.0232
Nagapattinam,2012,3.4,3.48,-0.08,-0.0232
Nagapattinam,2013,3.02,3.4235,-0.4035,-0.0232
Nagapattinam,2014,3.31,3.1752,0.1348,-0.0232
Nagapattinam,2015,2.61,3.3197,-0.7097,-0.0232
Nagapattinam,2016,2.83,2.9202,-0.0902,-0.0232
Nagapattinam,2017,4.63,2.9987,1.6313,-0.0232
Nagapattinam,2018,4.88,3.9352,0.9448,-0.0232
Nagapattinam,2019,3.39,4.1388,-0.7488,-0.0232
Nagapattinam,2020,4.02,3.4523,0.5677,-0.0232
Nagapattinam,2021,3.05,3.7619,-0.7119,-0.0232
Nagapattinam,2022,3.13,3.3045,-0.1745,-0.0232
Nagapattinam,2023,3.52,3.3244,0.1956,-0.0232
Nagapattinam,2024,2.65,3.4989,-0.8489,-0.0232
Nagapattinam,2025,2.59,3.0849,-0.4949,-0.0232
Namakkal,2011,9.28,0.0,9.28,-0.3436
Namakkal,2012,11.74,9.28,2.46,-0.3436
Namakkal,2013,14.63,11.4834,3.1466,-0.3436
Namakkal,2014,14.66,14.0676,0.5924,-0.3436
Namakkal,2015,12.04,14.1425,-2.1025,-0.3436
Namakkal,2016,11.91,11.9021,0.0079,-0.3436
Namakkal,2017,15.16,11.7998,3.3602,-0.3436
Namakkal,2018,11.71,14.6021,-2.8921,-0.3436
Namakkal,2019,14.04,11.6864,2.3536,-0.3436
Namakkal,2020,12.91,13.6721,-0.7621,-0.3436
Namakkal,2021,11.69,12.7346,-1.0446,-0.3436
Namakkal,2022,8.05,11.7129,-3.6629,-0.3436
Namakkal,2023,7.02,8.6453,-1.6253,-0.3436
Namakkal,2024,8.63,7.7513,0.8787,-0.3436
Namakkal,2025,7.44,9.0661,-1.6261,-0.3436
Perambalur,2011,5.76,0.0,5.76,-0.0888
Perambalur,2012,5.34,5.76,-0.42,-0.0888
Perambalur,2013,13.18,5.5101,7.6699,-0.0888
Perambalur,2014,9.0,9.2104,-0.2104,-0.0888
Perambalur,2015,8.77,8.3693,0.4007,-0.0888
Perambalur,2016,7.1,8.3988,-1.2988,-0.0888
Perambalur,2017,12.55,7.8808,4.6692,-0.0888
Perambalur,2018,9.28,9.5413,-0.2613,-0.0888
Perambalur,2019,14.67,8.8892,5.7808,-0.0888
Perambalur,2020,9.45,10.5237,-1.0737,-0.0888
Perambalur,2021,7.1,9.4295,-2.3295,-0.0888
Perambalur,2022,5.01,8.7799,-3.7699,-0.0888
Perambalur,2023,6.99,8.0805,-1.0905,-0.0888
Perambalur,2024,8.7,8.3757,0.3243,-0.0888
Perambalur,2025,5.77,8.723,-2.953,-0.0888
Pudukkottai,2011,5.23,0.0,5.23,-0.048
Pudukkottai,2012,6.31,5.23,1.08,-0.048
Pudukkottai,2013,7.31,6.0086,1.3014,-0.048
Pudukkottai,2014,5.41,7.3274,-1.9174,-0.048
Pudukkottai,2015,7.13,5.736,1.394,-0.048
Pudukkottai,2016,7.73,6.5923,1.1377,-0.048
Pudukkottai,2017,9.99,8.1177,1.8723,-0.048
Pudukkottai,2018,8.84,9.3842,-0.5442,-0.048
Pudukkottai,2019,8.98,9.5026,-0.5226,-0.048
Pudukkottai,2020,6.69,8.3668,-1.6768,-0.048
Pudukkottai,2021,5.77,7.448,-1.678,-0.048
Pudukkottai,2022,4.24,5.1455,-0.9055,-0.048
Pudukkottai,2023,5.27,4.9312,0.3388,-0.048
Pudukkottai,2024,5.75,4.5555,1.1945,-0.048
Pudukkottai,2025,6.94,6.3877,0.5523,-0.048
