District,Irrigation_Type,GW_Dependency_Ratio,GW_Trend_m_per_yr,Forecast_Horizon,Season,Predicted_GW_Depth_m,GW_Severity,Leading_Current_Crop,Top_Recommended_Crop,Rice_Viable,Viable_Crops_Ranked,Leading_Crop_Water_Req_Lkg,Recommended_Water_Req_Lkg,Potential_Water_Saving_pct,Rice_Attr_Weight,Dominant_Stress_Crop,CWSI
Ariyalur,Groundwater-dependent,0.92,0.114,1yr,Samba,4.05,Slow depletion,Rice,Bajra,True,Bajra(0.222) > Groundnut(0.294) > Maize(0.318) > Jowar(0.422) > Rice(0.581),2500,400,84.0,0.4365,Jowar,1725.2
Ariyalur,Groundwater-dependent,0.92,0.114,1yr,Kuruvai,4.05,Slow depletion,Rice,Bajra,True,Bajra(0.239) > Groundnut(0.311) > Maize(0.335) > Jowar(0.438) > Rice(0.597),2500,400,84.0,0.4365,Jowar,1725.2
Ariyalur,Groundwater-dependent,0.92,0.114,3yr,Samba,3.99,Slow depletion,Rice,Bajra,True,Bajra(0.222) > Groundnut(0.294) > Maize(0.318) > Jowar(0.422) > Rice(0.581),2500,400,84.0,0.4365,Jowar,1725.2
Ariyalur,Groundwater-dependent,0.92,0.114,3yr,Kuruvai,3.99,Slow depletion,Rice,Bajra,True,Bajra(0.239) > Groundnut(0.311) > Maize(0.335) > Jowar(0.438) > Rice(0.597),2500,400,84.0,0.4365,Jowar,1725.2
Ariyalur,Groundwater-dependent,0.92,0.114,5yr,Samba,3.98,Slow depletion,Rice,Bajra,True,Bajra(0.222) > Groundnut(0.294) > Maize(0.318) > Jowar(0.422) > Rice(0.581),2500,400,84.0,0.4365,Jowar,1725.2
Ariyalur,Groundwater-dependent,0.92,0.114,5yr,Kuruvai,3.98,Slow depletion,Rice,Bajra,True,Bajra(0.239) > Groundnut(0.311) > Maize(0.335) > Jowar(0.438) > Rice(0.597),2500,400,84.0,0.4365,Jowar,1725.2
Chengalpattu,Mixed,0.477,0.219,1yr,Samba,2.92,Slow depletion,Rice,Bajra,True,Bajra(0.134) > Jowar(0.170) > Groundnut(0.206) > Rice(0.386) > Maize(0.590),2500,400,84.0,0.0,Maize,2338.0
Chengalpattu,Mixed,0.477,0.219,1yr,Kuruvai,2.92,Slow depletion,Rice,Bajra,True,Bajra(0.162) > Jowar(0.198) > Groundnut(0.234) > Rice(0.414) > Maize(0.618),2500,400,84.0,0.0,Maize,2338.0
Chengalpattu,Mixed,0.477,0.219,3yr,Samba,2.92,Slow depletion,Rice,Bajra,True,Bajra(0.134) > Jowar(0.170) > Groundnut(0.206) > Rice(0.386) > Maize(0.590),2500,400,84.0,0.0,Maize,2338.0
Chengalpattu,Mixed,0.477,0.219,3yr,Kuruvai,2.92,Slow depletion,Rice,Bajra,True,Bajra(0.162) > Jowar(0.198) > Groundnut(0.234) > Rice(0.414) > Maize(0.618),2500,400,84.0,0.0,Maize,2338.0
Chengalpattu,Mixed,0.477,0.219,5yr,Samba,2.87,Slow depletion,Rice,Bajra,True,Bajra(0.134) > Jowar(0.170) > Groundnut(0.206) > Rice(0.386) > Maize(0.590),2500,400,84.0,0.0,Maize,2338.0
Chengalpattu,Mixed,0.477,0.219,5yr,Kuruvai,2.87,Slow depletion,Rice,Bajra,True,Bajra(0.162) > Jowar(0.198) > Groundnut(0.234) > Rice(0.414) > Maize(0.618),2500,400,84.0,0.0,Maize,2338.0
Chennai,Groundwater-dependent,0.785,-0.417,1yr,Samba,3.88,Stable/recovering,Rice,Bajra,True,Bajra(0.169) > Jowar(0.205) > Groundnut(0.241) > Maize(0.265) > Rice(0.781),2500,400,84.0,1.0,Rice,2487.7
Chennai,Groundwater-dependent,0.785,-0.417,1yr,Kuruvai,3.88,Stable/recovering,Rice,Bajra,True,Bajra(0.203) > Jowar(0.238) > Groundnut(0.275) > Maize(0.298) > Rice(0.815),2500,400,84.0,1.0,Rice,2487.7
Chennai,Groundwater-dependent,0.785,-0.417,3yr,Samba,3.87,Stable/recovering,Rice,Bajra,True,Bajra(0.169) > Jowar(0.205) > Groundnut(0.241) > Maize(0.265) > Rice(0.781),2500,400,84.0,1.0,Rice,2487.7
Chennai,Groundwater-dependent,0.785,-0.417,3yr,Kuruvai,3.87,Stable/recovering,Rice,Bajra,True,Bajra(0.203) > Jowar(0.238) > Groundnut(0.275) > Maize(0.298) > Rice(0.815),2500,400,84.0,1.0,Rice,2487.7
Chennai,Groundwater-dependent,0.785,-0.417,5yr,Samba,3.87,Stable/recovering,Rice,Bajra,True,Bajra(0.169) > Jowar(0.205) > Groundnut(0.241) > Maize(0.265) > Rice(0.781),2500,400,84.0,1.0,Rice,2487.7
Chennai,Groundwater-dependent,0.785,-0.417,5yr,Kuruvai,3.87,Stable/recovering,Rice,Bajra,True,Bajra(0.203) > Jowar(0.238) > Groundnut(0.275) > Maize(0.298) > Rice(0.815),2500,400,84.0,1.0,Rice,2487.7
Coimbatore,Groundwater-dependent,0.872,-0.432,1yr,Samba,11.66,Stable/recovering,Jowar,Bajra,False,Groundnut(0.305) > Bajra(0.309) > Jowar(0.462),700,400,42.9,0.0,Jowar,852.8
Coimbatore,Groundwater-dependent,0.872,-0.432,1yr,Kuruvai,11.66,Stable/recovering,Jowar,Bajra,True,Groundnut(0.259) > Bajra(0.263) > Maize(0.283) > Jowar(0.416) > Rice(0.439),700,400,42.9,0.0,Jowar,852.8
Coimbatore,Groundwater-dependent,0.872,-0.432,3yr,Samba,11.77,Stable/recovering,Jowar,Bajra,False,Groundnut(0.305) > Bajra(0.309) > Jowar(0.462),700,400,42.9,0.0,Jowar,852.8
Coimbatore,Groundwater-dependent,0.872,-0.432,3yr,Kuruvai,11.77,Stable/recovering,Jowar,Bajra,True,Groundnut(0.259) > Bajra(0.263) > Maize(0.283) > Jowar(0.416) > Rice(0.439),700,400,42.9,0.0,Jowar,852.8
Coimbatore,Groundwater-dependent,0.872,-0.432,5yr,Samba,11.77,Stable/recovering,Jowar,Bajra,False,Groundnut(0.305) > Bajra(0.309) > Jowar(0.462),700,400,42.9,0.0,Jowar,852.8
Coimbatore,Groundwater-dependent,0.872,-0.432,5yr,Kuruvai,11.77,Stable/recovering,Jowar,Bajra,True,Groundnut(0.259) > Bajra(0.263) > Maize(0.283) > Jowar(0.416) > Rice(0.439),700,400,42.9,0.0,Jowar,852.8
Cuddalore,Groundwater-dependent,0.671,-0.235,1yr,Samba,5.18,Stable/recovering,Rice,Bajra,True,Bajra(0.133) > Groundnut(0.210) > Maize(0.280) > Jowar(0.326) > Rice(0.416),2500,400,84.0,0.0,Jowar,2168.4
Cuddalore,Groundwater-dependent,0.671,-0.235,1yr,Kuruvai,5.18,Stable/recovering,Rice,Bajra,True,Bajra(0.165) > Groundnut(0.243) > Maize(0.313) > Jowar(0.359) > Rice(0.449),2500,400,84.0,0.0,Jowar,2168.4
Cuddalore,Groundwater-dependent,0.671,-0.235,3yr,Samba,5.2,Stable/recovering,Rice,Bajra,True,Bajra(0.133) > Groundnut(0.210) > Maize(0.280) > Jowar(0.326) > Rice(0.416),2500,400,84.0,0.0,Jowar,2168.4
Cuddalore,Groundwater-dependent,0.671,-0.235,3yr,Kuruvai,5.2,Stable/recovering,Rice,Bajra,True,Bajra(0.165) > Groundnut(0.243) > Maize(0.313) > Jowar(0.359) > Rice(0.449),2500,400,84.0,0.0,Jowar,2168.4
Cuddalore,Groundwater-dependent,0.671,-0.235,5yr,Samba,5.16,Stable/recovering,Rice,Bajra,True,Bajra(0.133) > Groundnut(0.210) > Maize(0.280) > Jowar(0.326) > Rice(0.416),2500,400,84.0,0.0,Jowar,2168.4
Cuddalore,Groundwater-dependent,0.671,-0.235,5yr,Kuruvai,5.16,Stable/recovering,Rice,Bajra,True,Bajra(0.165) > Groundnut(0.243) > Maize(0.313) > Jowar(0.359) > Rice(0.449),2500,400,84.0,0.0,Jowar,2168.4
Dharmapuri,Groundwater-dependent,1.0,-0.623,1yr,Samba,7.48,Stable/recovering,Jowar,Bajra,True,Bajra(0.254) > Groundnut(0.326) > Maize(0.379) > Rice(0.506) > Jowar(0.532),700,400,42.9,0.0,Jowar,1433.0
Dharmapuri,Groundwater-dependent,1.0,-0.623,1yr,Kuruvai,7.48,Stable/recovering,Jowar,Bajra,True,Bajra(0.243) > Groundnut(0.315) > Maize(0.367) > Rice(0.495) > Jowar(0.520),700,400,42.9,0.0,Jowar,1433.0
Dharmapuri,Groundwater-dependent,1.0,-0.623,3yr,Samba,7.57,Stable/recovering,Jowar,Bajra,True,Bajra(0.254) > Groundnut(0.326) > Maize(0.379) > Rice(0.506) > Jowar(0.532),700,400,42.9,0.0,Jowar,1433.0
Dharmapuri,Groundwater-dependent,1.0,-0.623,3yr,Kuruvai,7.57,Stable/recovering,Jowar,Bajra,True,Bajra(0.243) > Groundnut(0.315) > Maize(0.367) > Rice(0.495) > Jowar(0.520),700,400,42.9,0.0,Jowar,1433.0
Dharmapuri,Groundwater-dependent,1.0,-0.623,5yr,Samba,7.42,Stable/recovering,Jowar,Bajra,True,Bajra(0.254) > Groundnut(0.326) > Maize(0.379) > Rice(0.506) > Jowar(0.532),700,400,42.9,0.0,Jowar,1433.0
Dharmapuri,Groundwater-dependent,1.0,-0.623,5yr,Kuruvai,7.42,Stable/recovering,Jowar,Bajra,True,Bajra(0.243) > Groundnut(0.315) > Maize(0.367) > Rice(0.495) > Jowar(0.520),700,400,42.9,0.0,Jowar,1433.0
Dindigul,Groundwater-dependent,0.888,-0.405,1yr,Samba,7.41,Stable/recovering,Jowar,Bajra,True,Bajra(0.222) > Groundnut(0.294) > Maize(0.318) > Rice(0.474) > Jowar(0.618),700,400,42.9,0.0,Jowar,1141.4
Dindigul,Groundwater-dependent,0.888,-0.405,1yr,Kuruvai,7.41,Stable/recovering,Jowar,Bajra,True,Bajra(0.235) > Groundnut(0.307) > Maize(0.331) > Rice(0.487) > Jowar(0.631),700,400,42.9,0.0,Jowar,1141.4
Dindigul,Groundwater-dependent,0.888,-0.405,3yr,Samba,7.45,Stable/recovering,Jowar,Bajra,True,Bajra(0.222) > Groundnut(0.294) > Maize(0.318) > Rice(0.474) > Jowar(0.618),700,400,42.9,0.0,Jowar,1141.4
Dindigul,Groundwater-dependent,0.888,-0.405,3yr,Kuruvai,7.45,Stable/recovering,Jowar,Bajra,True,Bajra(0.235) > Groundnut(0.307) > Maize(0.331) > Rice(0.487) > Jowar(0.631),700,400,42.9,0.0,Jowar,1141.4
Dindigul,Groundwater-dependent,0.888,-0.405,5yr,Samba,7.37,Stable/recovering,Jowar,Bajra,True,Bajra(0.222) > Groundnut(0.294) > Maize(0.318) > Rice(0.474) > Jowar(0.618),700,400,42.9,0.0,Jowar,1141.4
Dindigul,Groundwater-dependent,0.888,-0.405,5yr,Kuruvai,7.37,Stable/recovering,Jowar,Bajra,True,Bajra(0.235) > Groundnut(0.307) > Maize(0.331) > Rice(0.487) > Jowar(0.631),700,400,42.9,0.0,Jowar,1141.4
Erode,Mixed,0.592,-0.196,1yr,Samba,5.95,Stable/recovering,Rice,Groundnut,True,Groundnut(0.211) > Bajra(0.270) > Maize(0.288) > Jowar(0.301) > Rice(0.446),2500,1000,60.0,0.0,Bajra,1743.4
Erode,Mixed,0.592,-0.196,1yr,Kuruvai,5.95,Stable/recovering,Rice,Groundnut,True,Groundnut(0.212) > Bajra(0.271) > Maize(0.289) > Jowar(0.302) > Rice(0.447),2500,1000,60.0,0.0,Bajra,1743.4
Erode,Mixed,0.592,-0.196,3yr,Samba,5.95,Stable/recovering,Rice,Groundnut,True,Groundnut(0.211) > Bajra(0.270) > Maize(0.288) > Jowar(0.301) > Rice(0.446),2500,1000,60.0,0.0,Bajra,1743.4
Erode,Mixed,0.592,-0.196,3yr,Kuruvai,5.95,Stable/recovering,Rice,Groundnut,True,Groundnut(0.212) > Bajra(0.271) > Maize(0.289) > Jowar(0.302) > Rice(0.447),2500,1000,60.0,0.0,Bajra,1743.4
Erode,Mixed,0.592,-0.196,5yr,Samba,5.89,Stable/recovering,Rice,Groundnut,True,Groundnut(0.211) > Bajra(0.270) > Maize(0.288) > Jowar(0.301) > Rice(0.446),2500,1000,60.0,0.0,Bajra,1743.4
Erode,Mixed,0.592,-0.196,5yr,Kuruvai,5.89,Stable/recovering,Rice,Groundnut,True,Groundnut(0.212) > Bajra(0.271) > Maize(0.289) > Jowar(0.302) > Rice(0.447),2500,1000,60.0,0.0,Bajra,1743.4
Kallakurichi,Groundwater-dependent,0.854,-0.022,1yr,Samba,6.63,Stable/recovering,Rice,Bajra,True,Bajra(0.158) > Jowar(0.218) > Groundnut(0.277) > Maize(0.317) > Rice(0.573),2500,400,84.0,0.431,Rice,1865.2
Kallakurichi,Groundwater-dependent,0.854,-0.022,1yr,Kuruvai,6.63,Stable/recovering,Rice,Bajra,True,Bajra(0.160) > Jowar(0.219) > Groundnut(0.278) > Maize(0.318) > Rice(0.575),2500,400,84.0,0.431,Rice,1865.2
Kallakurichi,Groundwater-dependent,0.854,-0.022,3yr,Samba,6.61,Stable/recovering,Rice,Bajra,True,Bajra(0.158) > Jowar(0.218) > Groundnut(0.277) > Maize(0.317) > Rice(0.573),2500,400,84.0,0.431,Rice,1865.2
Kallakurichi,Groundwater-dependent,0.854,-0.022,3yr,Kuruvai,6.61,Stable/recovering,Rice,Bajra,True,Bajra(0.160) > Jowar(0.219) > Groundnut(0.278) > Maize(0.318) > Rice(0.575),2500,400,84.0,0.431,Rice,1865.2
Kallakurichi,Groundwater-dependent,0.854,-0.022,5yr,Samba,6.6,Stable/recovering,Rice,Bajra,True,Bajra(0.158) > Jowar(0.218) > Groundnut(0.277) > Maize(0.317) > Rice(0.573),2500,400,84.0,0.431,Rice,1865.2
Kallakurichi,Groundwater-dependent,0.854,-0.022,5yr,Kuruvai,6.6,Stable/recovering,Rice,Bajra,True,Bajra(0.160) > Jowar(0.219) > Groundnut(0.278) > Maize(0.318) > Rice(0.575),2500,400,84.0,0.431,Rice,1865.2
Kanchipuram,Mixed,0.365,0.072,1yr,Samba,2.24,Slow depletion,Rice,Bajra,True,Bajra(0.130) > Jowar(0.166) > Groundnut(0.202) > Maize(0.226) > Rice(0.742),2500,400,84.0,1.0,Rice,2450.5
Kanchipuram,Mixed,0.365,0.072,1yr,Kuruvai,2.24,Slow depletion,Rice,Bajra,True,Bajra(0.137) > Jowar(0.173) > Groundnut(0.209) > Maize(0.233) > Rice(0.749),2500,400,84.0,1.0,Rice,2450.5
Kanchipuram,Mixed,0.365,0.072,3yr,Samba,2.18,Slow depletion,Rice,Bajra,True,Bajra(0.130) > Jowar(0.166) > Groundnut(0.202) > Maize(0.226) > Rice(0.742),2500,400,84.0,1.0,Rice,2450.5
Kanchipuram,Mixed,0.365,0.072,3yr,Kuruvai,2.18,Slow depletion,Rice,Bajra,True,Bajra(0.137) > Jowar(0.173) > Groundnut(0.209) > Maize(0.233) > Rice(0.749),2500,400,84.0,1.0,Rice,2450.5
Kanchipuram,Mixed,0.365,0.072,5yr,Samba,2.14,Slow depletion,Rice,Bajra,True,Bajra(0.130) > Jowar(0.166) > Groundnut(0.202) > Maize(0.226) > Rice(0.742),2500,400,84.0,1.0,Rice,2450.5
Kanchipuram,Mixed,0.365,0.072,5yr,Kuruvai,2.14,Slow depletion,Rice,Bajra,True,Bajra(0.137) > Jowar(0.173) > Groundnut(0.209) > Maize(0.233) > Rice(0.749),2500,400,84.0,1.0,Rice,2450.5
Kanniyakumari,Surface-water dominant,0.251,0.209,1yr,Samba,5.01,Slow depletion,Rice,Bajra,True,Bajra(0.119) > Jowar(0.185) > Groundnut(0.191) > Maize(0.215) > Rice(0.611),2500,400,84.0,0.7328,Rice,2498.0
Kanniyakumari,Surface-water dominant,0.251,0.209,1yr,Kuruvai,5.01,Slow depletion,Rice,Bajra,True,Bajra(0.117) > Jowar(0.183) > Groundnut(0.189) > Maize(0.213) > Rice(0.609),2500,400,84.0,0.7328,Rice,2498.0
Kanniyakumari,Surface-water dominant,0.251,0.209,3yr,Samba,5.03,Slow depletion,Rice,Bajra,True,Bajra(0.119) > Jowar(0.185) > Groundnut(0.191) > Maize(0.215) > Rice(0.611),2500,400,84.0,0.7328,Rice,2498.0
Kanniyakumari,Surface-water dominant,0.251,0.209,3yr,Kuruvai,5.03,Slow depletion,Rice,Bajra,True,Bajra(0.117) > Jowar(0.183) > Groundnut(0.189) > Maize(0.213) > Rice(0.609),2500,400,84.0,0.7328,Rice,2498.0
Kanniyakumari,Surface-water dominant,0.251,0.209,5yr,Samba,5.11,Slow depletion,Rice,Bajra,True,Bajra(0.119) > Jowar(0.185) > Groundnut(0.191) > Maize(0.215) > Rice(0.611),2500,400,84.0,0.7328,Rice,2498.0
Kanniyakumari,Surface-water dominant,0.251,0.209,5yr,Kuruvai,5.11,Slow depletion,Rice,Bajra,True,Bajra(0.117) > Jowar(0.183) > Groundnut(0.189) > Maize(0.213) > Rice(0.609),2500,400,84.0,0.7328,Rice,2498.0
Karur,Groundwater-dependent,0.897,-0.135,1yr,Samba,5.01,Stable/recovering,Jowar,Bajra,True,Groundnut(0.249) > Bajra(0.264) > Jowar(0.275) > Rice(0.436) > Maize(0.517),700,400,42.9,0.0776,Maize,1382.6
Karur,Groundwater-dependent,0.897,-0.135,1yr,Kuruvai,5.01,Stable/recovering,Jowar,Bajra,True,Groundnut(0.259) > Bajra(0.273) > Jowar(0.285) > Rice(0.446) > Maize(0.526),700,400,42.9,0.0776,Maize,1382.6
Karur,Groundwater-dependent,0.897,-0.135,3yr,Samba,4.96,Stable/recovering,Jowar,Bajra,True,Groundnut(0.249) > Bajra(0.264) > Jowar(0.275) > Rice(0.436) > Maize(0.517),700,400,42.9,0.0776,Maize,1382.6
Karur,Groundwater-dependent,0.897,-0.135,3yr,Kuruvai,4.96,Stable/recovering,Jowar,Bajra,True,Groundnut(0.259) > Bajra(0.273) > Jowar(0.285) > Rice(0.446) > Maize(0.526),700,400,42.9,0.0776,Maize,1382.6
Karur,Groundwater-dependent,0.897,-0.135,5yr,Samba,4.88,Stable/recovering,Jowar,Bajra,True,Groundnut(0.249) > Bajra(0.264) > Jowar(0.275) > Rice(0.436) > Maize(0.517),700,400,42.9,0.0776,Maize,1382.6
Karur,Groundwater-dependent,0.897,-0.135,5yr,Kuruvai,4.88,Stable/recovering,Jowar,Bajra,True,Groundnut(0.259) > Bajra(0.273) > Jowar(0.285) > Rice(0.446) > Maize(0.526),700,400,42.9,0.0776,Maize,1382.6
Krishnagiri,Groundwater-dependent,0.884,-1.096,1yr,Samba,7.5,Stable/recovering,Rice,Jowar,True,Jowar(0.260) > Bajra(0.281) > Maize(0.284) > Groundnut(0.313) > Rice(0.612),2500,700,72.0,0.4651,Rice,1884.8
Krishnagiri,Groundwater-dependent,0.884,-1.096,1yr,Kuruvai,7.5,Stable/recovering,Rice,Jowar,True,Jowar(0.247) > Bajra(0.269) > Maize(0.272) > Groundnut(0.300) > Rice(0.600),2500,700,72.0,0.4651,Rice,1884.8
Krishnagiri,Groundwater-dependent,0.884,-1.096,3yr,Samba,7.72,Stable/recovering,Rice,Jowar,True,Jowar(0.260) > Bajra(0.281) > Maize(0.284) > Groundnut(0.313) > Rice(0.612),2500,700,72.0,0.4651,Rice,1884.8
